=== day6razor.txt ===
Total yeses = 7283
Group (3): romdclz:sbpyaqjeicfxwv:ogdhrcun:dklct => 1
Group (4): bwpjlzmakrhtgcyd:lywtdgmrpzahkcj:zcywdpokjahmgrlt:thkcypzljgfadrmw:ahtdmzlrygpjfkcw => 15
Group (1): lqozhpxswn:aegvhkjo => 2
Group (1): mvrhzutxkewbyfdnqjgoics:efnzyojvstdhgqrcxwukbim => 23
Group (1): eiqctujxmbovyapflhsnrd:amlunxrvdkpswzfcyoebqjti => 21
Group (4): ftmj:fxntmhgzyva:rpamxuvse:trsxyfbg:wdcqkoli => 0
Group (2): xsovbqdiaztnm:mjospzaqdcbvlyixn:obdqizsmavnx => 12
Group (2): lyqonstrvwk:oswnltrkqvy:oqvlnkyswtr => 11
Group (1): pzyxdkcb:msuyp => 2
Group (2): jbtfnimyhgeau:ubjenfatihg:ipheugjnatbf => 11
Group (2): bohtinfxd:whiofqdx:ifjgmrdeco => 4
Group (4): i:i:i:ji:i => 1
Group (4): ojvu:juv:ujv:jvu:ujvn => 3
Group (2): qvjyraeugi:jaigryeuqv:auirgyvejq => 10
Group (3): l:l:l:l => 1
Group (2): wcvneqijzlu:jpfmawgnrts:tndmxhwjo => 3
Group (1): ikybgcsdhfjqewramz:zdyiuchgwkreqbjafxp => 16
Group (4): hwxbvmodf:vwfmbxdoh:bovxmfdwh:hofvwmdbx:wodvfbmxh => 9
Group (3): kvqer:kverq:vqrke:kevqrmg => 5
Group (2): lmcprdquzfojbwg:uzdljoqrphgcbfm:rpmnvlucjgzbfdqox => 14
Group (2): anevrywoscfgmd:pkorawscmf:rcumfipoaws => 8
Group (2): udfjiq:urqvjitfd:jfduqi => 6
Group (1): al:l => 1
Group (1): hqmtedniw:tnqdihmwez => 9
Group (3): y:qy:y:ley => 1
Group (1): ph:hp => 2
Group (2): czogpbqrswyemujkdxvh:hbycpwtxueksovzrdgmnqj:ukoegrcvsbpwqymdjhxz => 20
Group (2): ihly:nyd:vydw => 1
Group (1): sjvkuolzixacqnbfm:milvqkuzfaxbjcnos => 17
Group (0): vptqewkl => 8
Group (2): jitqrhcebp:hmdjfebzynqoic:jehbiqsxcvw => 7
Group (1): yvejfgpdhwr:sclkjzqgdaitbx => 3
Group (2): molycdpuqtezsaikfgb:rawhmiuxgbsjkqpftzceyldo:ykpfmgcadezvsqtuboil => 19
Group (3): cfy:fyc:fycjz:ycf => 3
Group (3): nvgokp:dvlrym:vbxq:viec => 1
Group (2): tshpkilmfn:rahptloqnmwze:hcdtgmlpjn => 6
Group (3): warkbezshofylgpvc:smfyaicelhvpk:chpnfkyeaxqvsluj:hcqpatlmdvsfkyei => 11
Group (3): mdvxgrpbnaeohkitc:cmkixqptgeo:mflsxckyzgjpuoe:pmdcxqevkorg => 8
Group (3): jsqdlxcmrnkahgwipfeuz:zmbjurenytxsaglqpvfwhkic:ipxjszkgrwdhufaqcelnm:kelwzuhjsmxngripqfcda => 20
Group (2): qjeilf:li:mswnadl => 1
Group (3): edlsrkoungwibthcp:skwbtjpcervoldi:fseklbitcpomwqr:ktcprsbzweihol => 12
Group (4): htdqfkovwjyezu:thobwyfzuldvjem:yvduezhfjtow:eyhwunjzkdvfto:fhejnzdytovwixu => 12
Group (3): fwhtnj:hjwfntl:ftujnwh:hbtwjnf => 6
Group (4): t:e:t:t:z => 0
Group (2): nqxcusyotzefvph:yeocxkiutgmsqf:ckjyemquxsofwtgd => 10
Group (4): tmzfevydagckuhqlx:byvufxtmcrlaqzed:upctzjfxaleysmdvq:evcxlnmfdtuyqza:tqoecfdzivxmuyabl => 14
Group (2): shgxmojtwil:dzkqounrelcxw:bwfyohxl => 4
Group (1): mcvryskujtwfegnqzpoabl:kqviphnbclosfegjw => 15
Group (2): cm:cm:icm => 2
Group (4): bgaxzljdmnikfwty:inflydazkjwrvmcb:mblkduehjyaqziwfn:ifbmwdjznyxgakol:imfdlwabhkynzj => 13
Group (2): jlrwutvxeh:jlrdwhtvxeu:rjkhluwetxpv => 10
Group (1): lwikdzhvmc:cyredwfnkizs => 6
Group (2): gxb:x:x => 1
Group (2): yeguzh:zgh:hpzc => 2
Group (1): paglzktcsyewuvboq:cgloauxwzvqsyktepb => 17
Group (3): y:m:b:b => 0
Group (2): jogqmp:imogpj:mgnpjoa => 5
Group (1): icgwq:cwig => 4
Group (2): piyuamfk:idyufmopea:acfuzgniypm => 7
Group (4): ipkmh:ibhklmp:phimk:tihpkm:pcvkhuzmyni => 5
Group (4): jugsl:lujh:luyirmj:ljgsu:jlu => 3
Group (2): gzbesjik:pzisbjekg:zjksigbe => 8
Group (4): mdp:mdcp:omd:xqmwcdp:ikrfdyjlm => 2
Group (1): wgdjmfbrntluzkysipq:pfiknrqtbzglyuwjsmd => 19
Group (1): wgbfixvksaejo:jph => 1
Group (2): wtsyo:ysw:qyl => 1
Group (1): ulsbickanygpxqwzhmjf:faqugxicyljwpzhsnkbm => 20
Group (4): zhrdfgxw:xgzqfmd:flkjdgxz:yzfcbdxvneg:ndxfgzo => 5
Group (3): ilkpncyqfbvorhtwexjds:iaebcyqudfprh:mqefrdbhcpyi:cdrhypiefbgq => 11
Group (1): zefqwirsglpjv:hdivwsnqb => 5
Group (4): vzcexgstnfk:farxkgzcsbnevt:sfczvtgnxke:txepoknzgsvfc:ksnevtfxcgz => 11
Group (1): yrlnqwvpmeiuxt:xqpirlhnymowuv => 12
Group (4): xan:jpfa:aczoup:cja:aibgwevkh => 1
Group (2): m:sml:opu => 0
Group (2): rdbchfwvyamizs:bofxszcamyrjdh:rzsntcpmalgyh => 8
Group (4): ftevgjrbkxmnuidsaqz:gexasrutkivfbdzqnjm:dnimrtkeugfzajsxvqb:quaxkivgnjdrtfbzems:qxriuendmbagfjzvkst => 19
Group (4): wthspyrxaijgbkzumvolqe:ovrgyukexzmpqjhflwit:tizgwxorvepjkyhlqum:urlwhtzkvjdqgoximype:revuqwpogzimyhlxtkj => 19
Group (1): edpukhotxswnb:dstnhbueokwpx => 13
Group (1): yhqwopgnutivk:qiotnupkvyw => 11
Group (4): znjofavtsgrkh:jvahkzotsfgnr:vhfnrsgtkzoaj:gfathnzrkosjv:tvzfsrkjohnga => 13
Group (1): evyutzwhmxdk:zxrmsqvfbiwojpg => 5
Group (3): re:ktrhjfiz:c:aldugvpqybnx => 0
Group (4): waexnqfbrul:ertydvxu:urxe:echxuor:rxeu => 4
Group (4): qtnxbpklyjiw:dmvocgqbp:berqpiuz:hrbkzqp:jrypbsqa => 3
Group (2): brhqpmziaxfgle:rwuzlfenmihpg:lfcmprhazeig => 10
Group (3): suzhwbrpe:clpusebrwai:pbeasgrofnwu:dvjwstpxqerkymub => 7
Group (2): kbouvjnqaysmgrhtwp:szdvbjhwpxygunfomkt:gtkleonjbyhmipvsw => 14
Group (1): mub:bmu => 3
Group (3): cfhsjuqrin:jfinqcrbshu:nwyjcuflmsrgxdeqhi:fhiucqjrnso => 10
Group (2): kdznqiyxu:emzsrpac:cszabv => 1
Group (2): idvqsgemlu:sdlmevqu:qlmspeudv => 8
Group (1): lo:ol => 2
Group (2): zcdu:bcqmdupjzr:luazkdc => 4
Group (4): wrju:wuj:jauw:cuwgj:jurw => 3
Group (4): sypfjcxmkzh:vrgpzcytm:pcdzmyo:brmwegzynqcp:auzvcpqmy => 5
Group (2): qdtxj:dpjq:qluajd => 3
Group (3): bgvldaj:cxb:bxc:rubxf => 1
Group (3): ziadtsbvuchlofeyjg:oajlevkdyirbtgqc:egldjvaiqtybkcor:litcrbeaojmdvgyx => 13
Group (3): itcn:csjftqn:ntwc:tncw => 3
Group (3): aqlmydwfn:nwliqmfjca:qwhlmnfa:nfamqlw => 7
Group (1): igxtv:gvxt => 4
Group (3): dlrkztoe:gbcdeotf:dyeoit:gcdetxo => 4
Group (3): yuso:xaesw:zfsy:su => 1
Group (4): wq:wq:wq:qxtw:qw => 2
Group (1): fynaektqvcbozhdxpuw:wzirdbecylampuqs => 11
Group (4): r:wcpazh:pbnyxkt:lgk:evdsiuq => 0
Group (4): tshrjadlymb:hrftismyjald:emwljutyarqsdgho:stjxdhrlmapy:tajsdhmlrpy => 10
Group (4): amb:jvadbm:fms:ramjv:hgtnqywzmkx => 1
Group (4): skmwcopgnfhuab:mpjvx:mrtp:tympq:mp => 2
Group (3): j:vjtu:scf:t => 0
Group (1): avwomuriqfelzsdnhjybptkg:yeltqzspmdkihnjvuwfgboar => 24
Group (4): nhkequsi:huifnmwsqg:mnosihugp:iuyhaslbjvntxr:piuzshno => 5
Group (1): rdguywbhevoaf:aojdgvhbrqyew => 11
Group (4): dtcipqw:dktic:cetsfid:idctm:citd => 4
Group (1): xjnzvmlpi:vduwgtsy => 1
Group (2): xfybrjwtkndm:guxtyvfabjn:jetfoqnxplyzi => 6
Group (3): brosek:soberk:borsek:skrboxdze => 6
Group (2): uadtqoi:itaqud:udqtia => 6
Group (2): ijqrfe:ijqe:oqvj => 2
Group (2): vernidqwmzpho:wpvzhmoeid:mviodhpzwe => 10
Group (4): ikultrxhjoz:kihjlutzx:xihkzlujt:tuixjzhelk:jxhlutzik => 9
Group (1): ztnmevyjlbisdfupgkrwq:iaxytmouwljksngh => 12
Group (4): ya:y:y:y:y => 1
Group (4): dfizts:fvslqiwtc:xdsgzitf:siptfmh:iskrnutyfe => 4
Group (2): czlaqjrxoeivgpbsnkym:bxwldzaikpemjfyosqtgvhcrn:sqgaroynvkcbejiuzxlpm => 20
Group (1): adtcenfvy:ajmwvsdkf => 4
Group (2): hgpyaov:fqnaidbgruokxzhy:oawshgty => 5
Group (1): vztswelufacbk:adkfuvmo => 5
Group (4): ceqrx:ylgrm:xr:zihukwvrno:rjfm => 1
Group (4): c:c:c:c:cy => 1
Group (2): nkzfxij:pevkoxydw:uamtrbhlgcsq => 0
Group (4): k:vk:xgk:nk:rk => 1
Group (4): rokqypnfjm:fvkrpjygnibqmo:mpqykofjrn:fjnpqkmoyr:jqoymprnfkw => 10
Group (1): sgpv:pumasyv => 3
Group (2): euhbkzytq:khqdzyeno:gsfmzkhjeil => 4
Group (2): g:g:g => 1
Group (3): xnmucpeqvjizwhklbg:hesokupzcjlrt:uypfachlzejk:ekjuchltdfpz => 9
Group (3): pwaefhvgskymuql:pykgwvcsqomhfbnajzeu:reqmsxkgpyfuwvaih:agqumvpyfktshxdwe => 14
Group (3): npokjeqbiucfamxyrtw:haglxndtebiqojymwuzfr:iymxjtonrfbweqau:ecwbxyarjmtoqnuif => 16
Group (1): wmv:qmof => 1
Group (3): lvno:rupsvno:vfon:vdno => 3
Group (1): r:rf => 1
Group (2): cruektys:ckwuqeltbyr:cektyur => 7
Group (3): omwygfcpaliuqvteshzdxn:vqbctzumoikefahdpnwglsx:litasvmxnoeudqgfphzwjc:desovqwhuimxzptngrflac => 21
Group (1): zmyebqukpivjhorctsnldxag:snckjqrluyzwihaxmvpdoe => 21
Group (2): awtsrxfhc:tiqphvdywaz:ihwta => 4
Group (1): rfqnegxpmjtzcihskvab:etmvrxifkqsgjnpbzcah => 20
Group (4): nabdje:aezxjn:bnezoa:ean:qrenga => 3
Group (4): rlhxpyo:r:mnorl:tgwizrqvcbe:dr => 1
Group (3): vpqbjyseizrtn:bljrtepdyqnvszi:zbtrnysjpvqei:bhgyqpvjenrtzis => 13
Group (2): hkzcxmwug:wygxkuzm:wumxzgk => 7
Group (4): rq:pq:fu:ibzwnx:hr => 0
Group (3): duabykztcwnqxmflpse:qxzdpbnfwmstcuakryl:nlbctapxmkzuwdsyqf:dyslfpuwbitqnzxahjckom => 18
Group (1): qoacdtzusvixrh:euzrowdtglmcikav => 10
Group (2): outyzds:bdlyztwso:kbosyzwedgvjlt => 6
Group (4): a:a:a:a:a => 1
Group (3): poejxws:jwoexsq:exjsow:oexswj => 6
Group (2): iwqaesxpufgmr:uxpwmfsaigq:awmuxpisgqf => 11
Group (1): ycxhlrfpmnwtab:rulhtdsf => 5
Group (4): jbgewroydxaiqfmkzv:kdvyifqtazmocnws:ktvhwaoiydqmfz:vmdokzqwayif:tkfwaimdzyoqv => 12
Group (4): sjqhftbamkzwyorlpve:rsefbmpzhwvkajtqoyl:ajpmbotsqhevlyrwkzf:tmslfhqerjkvgxwayopnzb:tpseohzrvqyjmwlkabf => 19
Group (1): rtuekjwpcabm:krbupeminyha => 8
Group (4): lcgnpwvkeuaxsqhimzorbydft:hpjksmytlavfzcrundigqboexw:vhpbzfqemyockrxgniadtuwls:yowhvzpldfbtqgsxamcnkireu:kvfbynscmrdaupegltzixwohq => 25
Group (2): g:igk:mwfen => 0
Group (2): bujfzi:fbj:rfjb => 3
Group (4): kzxnlwcj:cyezomtkwlj:cujwlzak:lawjczk:ckwsjlzx => 6
Group (1): fwhyzdn:qjhcdaew => 3
Group (3): ibrx:uqosfw:xiyre:gixryl => 0
Group (3): ck:kcs:ukca:cks => 2
Group (3): ex:w:ijmhbvkoe:alhq => 0
Group (3): at:ta:uat:ga => 1
Group (1): dcgitapjnokhsx:cbrxumnqijlfvozsy => 7
Group (4): wfvcx:kop:ygensbhta:crqi:mdz => 0
Group (4): dwhcuniof:ihwmnfu:ohnudfwi:kpnirgwjhuef:ihnwufq => 6
Group (1): rlga:sparg => 3
Group (1): hytsabludcfv:jewgmrznp => 0
Group (1): vlmqbx:pwrcexfhkzgyns => 1
Group (1): w:w => 1
Group (1): av:zvma => 2
Group (2): cpjklr:dyvns:a => 0
Group (4): yn:ny:gcyn:umznyhv:yn => 2
Group (1): wnvsafjgr:wfngjiasrv => 9
Group (2): ievwnudhstf:fsuvhtiew:bheutiswvf => 9
Group (1): udtnwkbheaf:kucylwvjxiqt => 4
Group (2): hljtmwnzcdkrfisv:wdjhtlcnrskivz:wjdvntscexqlripkbzhgay => 14
Group (2): bkjmqivtuanscydxp:cwqxidgpvbntusmakjy:tbjkvyaixsdcpmqun => 17
Group (3): ftl:e:e:u => 0
Group (4): hkjcgexiqbs:kbehocig:higkycoblet:nblicogkeh:gehikzbc => 7
Group (2): waingcjboqylezdsu:nmyukizxdbwvoqgcaspf:tyqdnbgcsoujiazrw => 14
Group (1): lfchjito:vlutojfcsh => 7
Group (1): jovtwiuheqkrdxapcsfgm:cvawpxumglirokdtfqjhs => 20
Group (1): kswydazphxc:xwhsayzkncde => 10
Group (4): lahity:vfgipmabtyrn:yhidtsa:yati:aitqyh => 4
Group (1): d:g => 0
Group (1): rphofvxebzy:uzqfyd => 3
Group (3): xyowpfhvtdkjersgalzi:bgalejwmkrhycopfvtidsxz:jauyptlhwrvgszfoexkind:rvkihpgyfawtlzdjxseo => 20
Group (1): uqbnrhlasgdopwcvfemztkyjix:oafnpqgtdezrwlxkvmhcubsijy => 26
Group (2): kgrovfpiatd:sdrxfik:hfibczyekmqrlu => 4
Group (2): oydl:dohl:doyl => 3
Group (2): bkvnawhqodjcrzpfxtl:lmxcgkfbtqnwyphrouzjvia:twpvoxkhaqzsnjlrfbc => 18
Group (4): no:bnix:nabv:tdumsrc:a => 0
Group (2): k:qsj:aqjs => 0
Group (3): tzfuo:fzvxspjamchgio:fozbq:ozf => 3
Group (3): atnxcrdus:rinqbdasxf:caursxdnl:zandsxr => 6
Group (3): saryuioetn:apemtnioyr:alotvfiyngerq:ntpaoweruidy => 8
Group (3): q:it:c:q => 0
Group (3): hzoiptgj:wzpd:hpzdj:bzqkpv => 2
Group (1): zsa:za => 2
Group (2): ol:o:h => 0
Group (2): xf:zndqlyf:fk => 1
Group (3): ubaplvgsfqn:vlbqefsgpn:bqlsgnpfv:lbpvqgnsf => 9
Group (3): nphoablwjs:hubyic:zfmgibxeh:hdbuyrg => 2
Group (4): mtdi:dhntuckim:dtim:sfmeidt:dipxftm => 4
Group (3): fxwnjhitovpde:vokwtfjspmedib:gqftcrelpovyzwid:dwepovfitan => 9
Group (4): naphmuwlztbxsiqy:brpnyfqxto:dqtrnpykbxe:npdbjtoyxq:dvpqtbxyn => 7
Group (3): tlhrgk:tkjh:cxbtov:tjy => 1
Group (2): ukjgpahefm:eiajkdwmt:dxawynmebikj => 5
Group (4): ozpmc:pmzco:pcmofz:mcpojz:zmovdcp => 5
Group (1): szyamqourexh:qesympcalfokh => 8
Group (1): fmlotwur:zdgwyiqmnk => 2
Group (1): cyeqwlbki:dnufjzstpvhr => 0
Group (2): w:w:w => 1
Group (2): efzqnjvhplgrmy:bzmovalwqkyjgrxpf:riydsvtqcufp => 6
Group (3): tclrg:rlycb:edzkrlc:clr => 3
Group (3): ljpfkhrzgmno:zlhpkojfmrnxg:hgprkymfnzljo:dbhrgzklvnpioajtmf => 12
Group (4): vybn:vybn:bynv:vnyb:vnyb => 4
Group (1): pvakljgcefuyxzwr:uwcevpkflrxjgzay => 16
Group (4): d:d:d:d:d => 1
Group (2): siy:z:c => 0
Group (4): fpusnocme:okum:wmubojtyiazg:lfxrkuqmdo:xoum => 3
Group (2): z:i:i => 0
Group (1): exoimtjhqap:xzbmulsdo => 3
Group (2): nrkvlyhj:rqhjnkyv:nhkeyrvj => 7
Group (2): fgdilbrjovqkxe:riknjxmocevudl:koyixrdeljv => 10
Group (4): fv:vf:fv:ovf:vf => 2
Group (3): e:qcdu:yk:aiwrtg => 0
Group (4): aosmzekcfbg:cogzvamfkestxb:wucsqojzbfynrekgmap:mszbokgefalc:cbegakfsomz => 11
Group (3): l:lr:l:l => 1
Group (4): ipbrflxjntmyzwh:xthbpywzonkidrfj:vxtzirpjbnfwkyh:jbzfaiwtnuxyhgcspr:tkqhyxbnfizpjwr => 13
Group (4): idz:ngmuvotyjqlw:fdpbz:bi:sfk => 0
Group (1): u:u => 1
Group (2): xiwtjalesvy:itsvdehxwy:wzbkiovpnesmxgrt => 7
Group (1): hqalfwptvmydruokzejincgbsx:fuyjneqibopgvmdlratwhxkscz => 26
Group (2): soehbfdlunqayzixpcg:djfeosucbgplqh:svpwhkurtfgqbdoe => 11
Group (3): srjgvqtldz:vzqrdgoljt:lzsjqgdvrt:trlvdjzqg => 9
Group (3): v:h:p:p => 0
Group (4): cjnm:mcjn:pncjm:mncj:mjcn => 4
Group (3): iok:iok:iko:iko => 3
Group (3): xcwgjue:kgju:azogjuft:jgmuxwc => 3
Group (4): msajntrlkxqeiohfv:getnrvjoflqxma:hfqmjnvagxlotre:jyovtledxrnfmqab:qxtverwjialonmf => 13
Group (1): hksfi:beqrfzgoul => 1
Group (4): czlmtbnrqjduah:rdzgbnmhiauslct:tcazsudprlhnbm:nwctrlxbhvudzmfea:tbcqnyzdrlmuha => 12
Group (2): s:m:m => 0
Group (1): qmxkiv:sqcxm => 3
Group (2): kvtbyfazojer:rofevztkyajb:tkazojvbfery => 12
Group (4): jrwld:ijward:jpyrdbwe:rjwd:rdwjm => 4
Group (1): iwartbsghcj:itgwajlzs => 7
Group (4): uoebjyairqxpn:ijauenbyxorq:arobqyxieunj:ruhiodexbyqja:jibecuxoryqa => 11
Group (4): nk:nm:n:mwn:nw => 1
Group (1): rkzdeiufl:knibderzmufl => 9
Group (4): ophtrmdneysl:oelpndymtsrh:ptndroyehslm:trsendlympho:tmpnhyseolrd => 12
Group (2): vjdes:avps:vs => 2
Group (4): lrokj:rlvgocjwmnhpxye:ljrof:jqfzlro:jrlo => 4
Group (3): ajz:mztjnk:dojlgbzv:jzy => 2
Group (1): nqg:xgef => 1
Group (1): qytgos:qgt => 3
Group (3): uixtyzmjskabndwl:xzkujfpqrwtmdsioanb:gdztwsjmkxieuan:zwumkxqjdaivstn => 13
Group (1): ybekpljqhwaozrsunvc:wabijepnshzvlmkucqoyr => 19
Group (1): ywq:vwa => 1
Group (3): ozxvnabjchsurkyit:hrcxntaiujfkbsvy:cvytrqdikuahbsjxgn:vkybjratchnfxius => 15
Group (2): xkozfm:fthk:ujyprq => 0
Group (2): dmavqeft:facmbgevqtk:qaftmev => 7
Group (4): nqftsomeiwkh:kodtfarsqmpnwzev:gnwfskouxqmte:kqymjenlstowf:gqwmeckxfobstn => 10
Group (4): w:f:f:f:f => 0
Group (2): ynouhdazs:uhndzsqaoy:dyarhuzsnwo => 9
Group (3): twvzmsuek:tulsmekz:sxmlidpuekz:zmsenujko => 6
Group (2): pyid:pidy:irsmdz => 2
Group (3): nglvrjkmh:altmnwkhfro:jrlzntym:unqrimlexbsc => 4
Group (1): rzmfbjnvtuhalspydkq:kdctavibrufjzmpwhseql => 17
Group (3): quj:uq:uirqdc:uq => 2
Group (2): csorknptwzehgvx:olzknwjieyhv:aebwnhvqkoz => 8
Group (3): onqbzfcsykjrhpuelmdvwt:gyunqefdoszkptcjlmhwb:aqbywdnxhjfuselkztopcm:pnlcosjfhymdwzvbutqeikr => 20
Group (4): ncs:ey:dc:ypt:qhvgowiuabkrx => 0
Group (3): o:o:o:o => 1
Group (4): si:s:sq:ezsaux:rsf => 1
Group (1): mxtindkegroflbps:wopfiexsrnylgd => 12
Group (2): cdpszukwehnqyotbarjg:gohpwlyketrsza:hyokzsrgeapxltw => 13
Group (1): ozbaxtrhsnjydpqfmlvckw:ykpqahmucslrzfwxodtv => 19
Group (4): dro:dolr:idro:odr:drojmps => 3
Group (4): f:f:j:f:f => 0
Group (4): x:cxs:xm:xm:yx => 1
Group (2): lmjxn:cdou:aqekouwci => 0
Group (3): asqkcwirotd:iqctslwpkagro:qwvfrjeixoctasdk:ksfvrtcaoweuqi => 10
Group (1): rcxjokgweimzaqlsyvh:eiszkpamocvhux => 12
Group (1): svbneghqi:wlngkm => 2
Group (3): yx:yx:yx:yx => 2
Group (4): zgmtedunpharcvifyxsq:cdwyhxupfamtgzqjnosrevlik:rtshdumnvfxieypcgbqaz:nepzuxfaqbtmyrdhgiscv:yvcmtepxzqadfhrnuisg => 20
Group (3): odvngjmuw:nmjguvo:ipsjlgvboumnyh:ujvmgond => 7
Group (1): ibte:lbj => 1
Group (3): vnyazpoqm:nyvouxaepms:mpgyvjoacwn:dymapvnkoh => 7
Group (3): zvqmtfcbeikxwsgjudo:zjodgqbamcwnevukftx:tdwevmbqojukzfcxg:qwykzudcbgmofexajvt => 17
Group (1): hagrex:egrxah => 6
Group (1): z:z => 1
Group (1): gmx:wxtmg => 3
Group (1): vh:izshx => 1
Group (1): vejrthqgixubla:xwroqnjvzkptfbh => 8
Group (4): ngpauyltq:qftxapncled:qnpbwyualght:pytqnal:pwhqktlnua => 6
Group (1): ofelsiqtakyvgcdubhprm:arucvsxkezgifobqp => 15
Group (3): sybhmruftp:qmbyfrphsu:qyfrphbusm:fpusrhymb => 9
Group (1): haekngcs:gahj => 3
